"mode","prepost","pid3","pid_strong","pid_lean","pid7","sp_serv","sp_serv_biden","sp_serv_trump","jobs_living","jobs_living_biden","jobs_living_trump","envir_business","envir_business_biden","envir_business_trump","abortion","abortion_salience","abortion_biden","abortion_trump","bible","adjust_change","family_ties","covid_approval","covid_response_speed","mail_in_attitude","police_treat","bidenft","trumpft","bidenft_post","trumpft_post","pocket","repro","votepres","turnout","mail_in","stateFIPS","attention_poli","age","marital","educ","educ5","race","gender","income","ideology","retro","religion","union","trans","immigration","gun_diff","offensive_language","harassment","no_children","arrested","feminist","flag","shark","family_importance"
3,3,1,1,NA,1,7,7,1,1,5,7,6,4,2,1,3,1,1,1,3,4,4,5,6,4,60,15,100,40,3,4,1,1,-1,17,3,71,1,5,3,2,2,9,NA,4,1,2,1,4,1,4,2,0,1,3,1,2,4
3,3,3,NA,3,3,6,4,1,3,5,7,2,4,7,4,5,4,4,3,2,5,4,4,4,1,40,0,60,0,4,4,1,1,-1,39,2,28,6,8,5,1,2,3,1,4,5,2,4,4,1,2,2,1,2,1,2,2,5
3,3,1,1,NA,1,7,6,1,1,2,7,1,2,7,4,5,4,1,3,3,1,4,5,4,4,85,0,100,0,3,5,1,1,-1,5,1,73,1,7,5,1,2,8,1,5,5,2,6,4,1,1,2,0,2,1,2,2,1
3,3,2,1,NA,7,4,7,5,6,2,3,5,1,5,NA,-9,4,2,2,4,2,1,3,7,4,0,100,15,100,3,4,2,1,-1,13,1,NA,1,6,4,1,1,NA,6,4,3,2,5,1,2,3,3,1,2,3,1,2,2
3,3,2,1,NA,7,2,7,1,5,1,7,4,3,5,NA,-9,4,2,2,5,2,3,4,6,4,15,70,15,70,1,1,2,1,-1,48,4,37,1,6,4,1,2,19,6,1,2,2,2,2,1,4,3,0,2,3,2,2,2
3,3,1,1,NA,1,7,5,4,3,2,6,3,4,6,1,5,3,2,1,2,3,4,4,4,1,80,5,100,10,4,5,1,1,-1,42,3,56,6,5,3,2,2,4,4,5,1,2,3,4,1,1,3,1,2,3,2,2,3
3,3,2,1,NA,7,1,7,3,7,1,7,7,1,7,2,5,4,2,2,5,1,1,3,7,3,0,100,0,100,2,2,2,1,-1,35,1,48,4,7,5,1,1,10,7,2,4,2,1,1,2,4,3,0,2,3,2,2,1
3,3,2,1,NA,7,2,7,2,7,1,7,7,1,6,3,1,4,2,2,5,1,1,3,7,4,0,98,0,100,2,3,2,1,-1,20,1,53,1,6,4,1,2,19,7,3,3,2,2,1,3,3,3,0,2,2,2,2,1
3,3,3,NA,1,5,4,6,5,4,6,3,4,2,5,5,4,4,1,NA,2,3,1,3,7,4,50,85,50,70,3,4,2,1,-1,6,3,72,4,5,3,1,2,22,3,4,4,2,2,1,1,3,1,0,2,3,2,2,3
3,3,2,1,NA,7,4,7,4,NA,1,7,7,2,6,4,1,4,2,1,3,3,1,3,6,4,0,100,0,85,3,1,2,1,-9,29,2,55,1,2,2,1,1,1,6,1,2,2,1,1,2,2,1,0,2,3,1,2,3
3,3,1,1,NA,1,5,5,2,6,5,7,2,4,7,3,2,3,1,2,3,1,4,5,4,2,85,0,100,0,3,5,1,1,-1,42,1,79,3,4,3,1,1,10,2,5,2,1,6,4,3,3,3,0,2,3,2,2,1
3,3,3,NA,3,3,4,4,4,4,4,6,1,3,7,4,3,4,2,3,1,4,4,5,4,2,75,0,90,0,3,4,1,1,-1,27,2,38,1,6,4,1,1,21,3,4,5,2,5,4,1,2,3,0,2,3,2,2,4
3,3,2,1,NA,7,7,1,5,4,4,3,4,4,4,1,3,1,1,1,5,1,2,4,6,2,15,80,20,95,2,2,2,1,-1,6,3,42,6,6,4,4,2,12,4,2,2,1,5,2,1,3,3,1,2,3,2,2,1
3,3,3,NA,3,3,6,7,1,3,4,7,3,2,7,4,4,4,1,3,3,2,4,5,1,1,100,0,85,0,2,5,1,1,-1,29,1,70,1,7,5,1,1,15,6,5,3,2,5,4,1,2,2,0,2,3,1,2,2
3,3,1,1,NA,1,7,7,1,1,1,7,1,1,7,4,3,4,1,1,4,2,4,5,2,1,100,15,100,0,4,5,1,NA,1,48,2,50,NA,4,3,5,2,NA,4,5,1,2,1,4,1,2,1,0,2,3,2,2,2
3,3,1,1,NA,1,5,5,1,4,4,7,1,3,7,4,4,4,1,2,4,5,4,5,1,1,100,0,90,0,2,5,1,1,-1,51,1,50,6,7,5,2,2,NA,2,5,3,2,6,4,1,1,2,1,2,1,2,2,5
3,1,3,NA,2,4,5,5,3,5,4,2,5,3,6,1,3,3,3,1,NA,NA,1,5,7,NA,100,85,NA,NA,4,2,NA,NA,-6,39,3,27,1,1,1,1,2,1,4,2,2,2,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA
3,3,2,1,NA,7,7,7,7,1,1,1,NA,1,1,1,5,1,1,1,3,3,1,5,4,1,0,100,0,100,3,3,NA,NA,-1,21,2,62,6,2,2,1,1,1,NA,3,1,2,1,1,3,4,1,0,2,3,2,2,3
3,3,3,NA,2,4,2,7,2,7,1,6,7,1,5,3,1,4,3,2,5,1,1,3,7,4,0,85,0,100,3,1,NA,1,-1,42,2,51,1,5,3,NA,2,NA,4,1,1,2,1,1,3,4,1,0,2,3,1,2,1
3,1,2,1,NA,7,3,7,5,7,2,6,5,2,5,5,3,4,3,2,NA,NA,1,3,4,NA,30,85,NA,NA,2,2,NA,NA,-6,4,2,60,1,3,3,1,1,15,6,2,3,2,4,1,NA,4,NA,NA,NA,NA,NA,NA,NA
3,3,1,1,NA,1,5,5,2,4,4,6,3,4,6,2,5,2,2,2,3,2,4,5,4,3,75,15,85,0,3,3,1,1,-1,13,1,65,4,7,5,1,2,9,3,3,1,2,1,3,1,3,3,0,2,3,1,2,2
3,3,3,NA,3,3,4,5,1,4,3,7,3,3,7,4,4,4,3,3,1,2,4,5,2,1,85,0,85,0,4,5,1,1,-1,36,1,NA,6,7,5,1,1,21,3,5,4,2,5,4,1,2,3,1,2,1,2,2,2
3,3,2,2,NA,6,6,6,3,NA,5,6,5,5,5,2,2,2,2,1,2,3,4,4,4,1,60,30,70,0,4,4,1,1,-1,39,3,48,4,2,2,1,1,9,4,4,4,2,2,2,3,4,2,1,2,3,1,2,3
3,3,3,NA,1,5,4,7,5,7,1,7,4,1,4,3,3,4,2,1,3,2,2,3,7,3,15,85,0,100,4,2,2,1,-1,48,2,55,1,2,2,1,1,13,6,2,2,2,2,1,3,3,1,0,1,3,1,2,2
3,3,3,NA,2,4,3,5,3,3,4,5,3,7,7,4,3,4,2,2,2,3,4,5,4,1,50,30,40,30,3,4,1,1,-1,17,2,54,1,6,4,1,1,19,5,4,3,2,4,4,1,3,3,0,2,3,2,2,3
3,3,1,2,NA,2,7,7,1,6,1,7,1,1,7,4,5,4,4,3,2,4,4,3,2,2,40,15,75,35,5,4,NA,NA,-1,30,4,38,1,7,5,1,2,13,4,4,5,2,6,4,3,3,3,1,1,3,1,2,4
3,3,1,1,NA,1,7,6,1,2,2,7,1,2,7,3,4,3,1,3,2,2,4,5,2,1,100,0,100,0,3,4,1,1,-1,47,1,80,1,8,5,1,1,10,2,4,2,2,2,4,1,2,2,0,2,1,2,2,2
3,3,1,2,NA,2,7,5,1,2,4,7,1,3,7,5,5,3,1,3,1,3,4,5,7,1,85,0,70,40,3,5,1,1,-1,22,2,37,1,7,5,6,2,15,2,5,3,1,6,4,1,1,2,1,2,3,2,2,3
3,3,3,NA,3,3,6,4,2,4,4,5,1,4,7,4,3,4,2,3,2,3,4,5,2,2,40,15,60,0,2,3,1,1,-1,34,1,38,1,6,4,1,1,22,2,3,4,2,4,4,1,4,3,0,2,1,1,2,3
3,3,3,NA,1,5,4,2,1,1,2,7,1,2,4,4,3,2,2,2,3,2,4,5,6,1,100,0,100,0,3,5,1,1,-1,6,1,60,1,4,3,1,1,11,4,5,3,2,6,4,3,1,2,1,1,3,1,2,2
3,3,3,NA,3,3,7,7,1,3,3,7,1,3,7,2,3,4,1,2,4,2,4,5,4,2,100,0,100,0,2,5,1,1,-1,6,3,46,4,3,3,6,1,14,5,5,2,1,2,4,1,2,2,0,1,3,2,2,2
3,3,1,1,NA,1,7,4,1,1,4,7,1,3,7,4,4,4,1,3,1,5,4,5,1,1,15,0,40,0,3,5,2,1,-1,6,1,78,1,7,5,1,2,17,1,5,5,1,6,4,1,1,2,0,1,1,2,2,5
3,3,1,1,NA,1,6,5,1,1,4,7,1,4,7,4,5,4,1,3,1,2,4,5,2,1,72,0,75,0,3,5,1,1,-1,8,1,39,1,8,5,1,2,16,2,5,1,2,6,4,1,1,2,0,2,1,1,2,2
3,3,1,2,NA,2,NA,4,1,4,3,7,3,3,7,4,4,4,1,2,2,4,4,5,5,1,70,0,60,0,4,4,1,1,-1,17,2,33,6,8,5,2,2,11,2,4,3,2,5,3,1,3,1,1,2,3,2,2,4
3,3,1,1,NA,1,5,7,1,1,1,7,1,1,7,3,3,3,2,3,1,3,4,4,4,2,100,0,100,16,3,3,1,1,-1,6,2,74,4,7,5,1,2,1,2,3,2,2,5,4,1,3,3,1,2,1,2,2,3
3,3,1,2,NA,2,5,6,3,4,5,2,5,4,4,4,4,3,4,2,3,1,4,5,1,3,85,0,70,0,3,4,1,1,-1,27,3,61,3,4,3,1,2,10,3,4,2,2,4,2,3,2,3,0,2,3,2,2,1
3,3,1,1,NA,1,NA,4,1,5,5,7,1,1,7,4,4,4,1,1,4,2,4,5,4,1,100,0,100,0,4,3,1,NA,2,27,2,67,4,3,3,1,2,6,NA,3,4,2,6,4,1,3,1,0,2,3,2,2,2
3,3,1,2,NA,2,NA,5,5,4,4,4,3,3,3,4,2,4,4,3,2,2,4,5,4,3,NA,NA,70,0,3,3,1,1,-1,42,2,60,4,2,2,1,2,13,NA,3,4,2,5,4,1,2,1,0,1,3,2,2,2
3,3,2,1,NA,7,3,6,3,7,3,5,3,1,5,2,4,4,2,2,2,1,2,4,5,4,15,85,15,85,3,1,2,1,-1,42,2,NA,1,3,3,1,1,17,6,1,4,2,1,1,3,4,1,0,2,3,1,2,1
3,3,3,NA,2,4,3,4,4,5,5,5,5,5,5,1,3,3,3,3,3,2,4,3,4,4,40,15,50,50,4,3,NA,NA,-1,18,4,21,6,3,3,2,1,6,NA,3,4,2,5,4,2,2,2,0,2,3,2,2,2
3,3,1,1,NA,1,7,7,7,1,1,7,1,1,7,2,5,2,1,1,2,2,4,5,2,1,100,0,100,0,4,5,NA,NA,-1,36,2,49,1,1,1,2,2,1,4,5,3,2,5,4,1,2,1,0,2,3,2,2,2
3,3,1,1,NA,1,7,6,1,1,1,7,1,2,7,4,2,4,2,NA,4,1,4,5,4,1,85,0,7,0,3,5,1,1,-1,42,1,80,1,7,5,1,1,16,2,5,5,1,6,4,1,1,3,0,2,3,2,2,1
